Duplicate : 我們  map[key]= we  value= us
Duplicate : 這個  map[key]= the2  value= this
Duplicate : 有  map[key]= has2  value= have
Duplicate : 去  map[key]= going  value= go
Duplicate : 他  map[key]= he  value= him
Duplicate : 可以  map[key]= can  value= could
Duplicate : 可以  map[key]= can  value= ok
Duplicate : 將會  map[key]= will  value= gonna
Duplicate : 他們  map[key]= they  value= them
Duplicate : 什麼  map[key]= what  value= anything
Duplicate : 說  map[key]= say  value= said
Duplicate : 做  map[key]= do2  value= doing
Duplicate : 告訴  map[key]= tell  value= told
Duplicate : 很好  map[key]= well  value= fine
Duplicate : 謝謝  map[key]= thank  value= thanks
Duplicate : 說  map[key]= say  value= talking
Duplicate : 做  map[key]= do2  value= made
Duplicate : 嗨  map[key]= hey  value= hi
Duplicate : 聽  map[key]= listen  value= hear
Duplicate : 其他  map[key]= other  value= else
Duplicate : 一切  map[key]= everything  value= every
Duplicate : 嘗試  map[key]= trying  value= try
Duplicate : 知道  map[key]= know  value= knew
Duplicate : 去  map[key]= going  value= went
Duplicate : 工作  map[key]= work  value= job
Duplicate : 發現  map[key]= find  value= found
Duplicate : 事  map[key]= thing  value= matter
Duplicate : 有  map[key]= has2  value= having

// --------------------------------------------
Duplicate : 發生  map[key]= happened  value= happen
Duplicate : 兩  map[key]= two  value= both
Duplicate : 因為  map[key]= because  value= since
Duplicate : 沒有  map[key]= no  value= without
Duplicate : 想  map[key]= think  value= wanna
Duplicate : 生活  map[key]= life  value= live
Duplicate : 真  map[key]= really  value= true
Duplicate : 告訴  map[key]= tell  value= telling
Duplicate : 人  map[key]= people  value= person
Duplicate : 誰  map[key]= who  value= somebody
Duplicate : 後  map[key]= after  value= later
Duplicate : 希望  map[key]= hope  value= wish
Duplicate : 前  map[key]= before  value= ago
Duplicate : 看  map[key]= look  value= watch
Duplicate : 高興  map[key]= happy  value= glad
Duplicate : 或  map[key]= or  value= either
Duplicate : 感覺  map[key]= feel  value= feeling
Duplicate : 哇  map[key]= whoa  value= wow
Duplicate : 休息  map[key]= rest  value= break
Duplicate : 問題  map[key]= problem  value= question
Duplicate : 嘗試  map[key]= trying  value= tried
Duplicate : 任何人  map[key]= anyone  value= anybody
Duplicate : 死  map[key]= dead  value= die
Duplicate : 開始  map[key]= start  value= started
Duplicate : 男人  map[key]= man  value= men
Duplicate : 還  map[key]= still  value= also
Duplicate : 去  map[key]= going  value= goes
Duplicate : 最後  map[key]= last  value= finally
Duplicate : 生活  map[key]= life  value= live
Duplicate : 帶  map[key]= bring  value= brought
Duplicate : 生活  map[key]= life  value= living
Duplicate : 離開  map[key]= leave  value= leaving
Duplicate : 前  map[key]= before  value= front
Duplicate : 爸  map[key]= dad  value= daddy
Duplicate : 給  map[key]= give  value= giving
Duplicate : 需要  map[key]= need  value= needed
Duplicate : 死亡  map[key]= death  value= died
Duplicate : 傑克  map[key]= jack  value= jake
